group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
Players,203526,Raul Neto,Raul,1610612764,WAS,30.0,20,13,7,0.65,2.7,0.647,0.353,0.522,0.174,0.261,0.0,0.217,0.0,0.348,0.0,1.0,1.0,0.0,0.25,0.75,8,17,0.471,171,97,255,86,240,184,235,160,45,173,158,197,241,202,279,1,1,98,305,52,130,136,157,WAS
Players,203107,Tomas Satoransky,Tomas,1610612764,WAS,30.0,7,4,3,0.571,2.1,1.0,0.0,0.4,0.4,0.0,0.0,0.6,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,305,275,139,155,319,1,333,213,8,252,158,22,32,317,1,250,232,98,1,267,299,335,116,WAS
Players,1630557,Corey Kispert,Corey,1610612764,WAS,23.0,21,11,10,0.524,1.7,0.333,0.667,0.308,0.0,0.462,0.0,0.23,0.0,0.308,0.5,0.5,1.0,0.0,0.75,0.25,4,6,0.667,164,136,322,200,368,319,85,267,141,100,158,182,241,221,149,152,1,98,143,204,204,258,59,WAS
Players,202397,Ish Smith,Ish,1610612764,WAS,33.0,10,7,3,0.7,2.3,0.7,0.3,0.667,0.333,0.25,0.0,0.083,0.0,0.333,0.25,0.75,1.0,0.0,0.4,0.6,5,10,0.5,269,211,139,67,299,154,263,80,10,174,158,291,241,206,230,85,1,98,266,91,175,208,116,WAS
Players,203078,Bradley Beal,Bradley,1610612764,WAS,29.0,18,13,5,0.722,4.2,0.756,0.244,0.566,0.189,0.113,0.0,0.321,0.132,0.377,0.4,0.6,0.5,0.5,0.412,0.588,17,41,0.415,193,97,211,61,29,134,285,142,37,229,158,112,159,192,187,132,202,40,263,100,67,62,214,WAS
Players,1629655,Daniel Gafford,Daniel,1610612764,WAS,23.0,19,12,7,0.632,2.7,1.0,0.0,0.588,0.0,0.0,0.0,0.412,0.0,0.588,0.4,0.6,0.0,0.0,0.4,0.6,5,10,0.5,184,113,255,93,236,1,333,127,141,252,158,54,241,98,187,132,232,98,266,91,175,208,116,WAS
Players,202954,Brad Wanamaker,Brad,1610612764,WAS,32.0,1,0,1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,438,448,38,448,464,381,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,419,364,WAS
Players,1628398,Kyle Kuzma,Kyle,1610612764,WAS,26.0,36,22,14,0.611,3.9,0.377,0.623,0.234,0.064,0.543,0.0,0.223,0.106,0.17,0.364,0.636,1.0,0.0,0.75,0.25,28,69,0.406,17,10,401,113,52,309,110,298,113,76,158,188,183,285,200,124,1,98,143,204,17,16,219,WAS
Players,1630166,Deni Avdija,Deni,1610612764,WAS,21.0,25,16,9,0.64,2.9,0.522,0.478,0.381,0.0,0.429,0.095,0.19,0.429,0.381,0.75,0.25,1.0,0.0,0.857,0.143,7,23,0.304,111,57,298,91,204,238,181,236,141,109,97,221,27,190,95,217,1,98,107,254,146,117,298,WAS
Players,1628418,Thomas Bryant,Thomas,1610612764,WAS,24.0,3,2,1,0.667,1.2,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,383,339,38,74,419,244,153,1,141,252,1,305,241,1,1,250,232,98,1,267,299,335,116,WAS
Players,203484,Kentavious Caldwell-Pope,Kentavious,1610612764,WAS,29.0,37,23,14,0.622,4.2,0.361,0.639,0.296,0.074,0.556,0.037,0.148,0.056,0.222,0.75,0.25,0.9,0.1,0.833,0.167,18,36,0.5,14,5,401,107,27,316,103,274,106,73,146,260,225,266,95,217,157,93,111,245,56,75,116,WAS
Players,1630264,Anthony Gill,Anthony,1610612764,WAS,29.0,9,7,2,0.778,1.6,0.333,0.667,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,3,0.333,279,211,100,53,380,319,85,326,141,51,158,57,241,317,279,250,1,98,1,267,299,311,267,WAS
Players,1629060,Rui Hachimura,Rui,1610612764,WAS,24.0,9,4,5,0.444,1.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,279,275,211,290,432,1,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,364,364,WAS
Players,204001,Kristaps Porziņģis,Kristaps,1610612764,WAS,26.0,20,9,11,0.45,3.2,0.818,0.182,0.776,0.163,0.061,0.041,0.163,0.082,0.612,0.684,0.316,1.0,0.0,0.7,0.3,20,33,0.606,171,173,349,287,146,112,304,62,54,244,139,249,207,91,113,213,1,98,170,193,43,82,78,WAS
