season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2018-19,1610612766,21800003,2018-10-17,MIL,CHA,1610612749,1,112,113,L,-1
2018-19,1610612766,21800017,2018-10-19,CHA,ORL,1610612753,2,120,88,W,32
2018-19,1610612766,21800030,2018-10-20,CHA,MIA,1610612748,3,113,112,W,1
2018-19,1610612766,21800041,2018-10-22,CHA,TOR,1610612761,4,106,127,L,-21
2018-19,1610612766,21800056,2018-10-24,CHA,CHI,1610612741,5,110,112,L,-2
2018-19,1610612766,21800067,2018-10-26,CHI,CHA,1610612741,6,135,106,W,29
2018-19,1610612766,21800078,2018-10-27,CHA,PHI,1610612755,7,103,105,L,-2
2018-19,1610612766,21800096,2018-10-30,MIA,CHA,1610612748,8,125,113,W,12
2018-19,1610612766,21800111,2018-11-01,OKC,CHA,1610612760,9,107,111,L,-4
2018-19,1610612766,21800126,2018-11-03,CLE,CHA,1610612739,10,126,94,W,32
2018-19,1610612766,21800149,2018-11-06,ATL,CHA,1610612737,11,113,102,W,11
2018-19,1610612766,21800168,2018-11-09,CHA,PHI,1610612755,12,132,133,L,-1
2018-19,1610612766,21800184,2018-11-11,CHA,DET,1610612765,13,113,103,W,10
2018-19,1610612766,21800199,2018-11-13,CHA,CLE,1610612739,14,89,113,L,-24
2018-19,1610612766,21800225,2018-11-17,PHI,CHA,1610612755,15,119,122,L,-3
2018-19,1610612766,21800239,2018-11-19,BOS,CHA,1610612738,16,117,112,W,5
2018-19,1610612766,21800252,2018-11-21,IND,CHA,1610612754,17,127,109,W,18
2018-19,1610612766,21800274,2018-11-23,CHA,OKC,1610612760,18,104,109,L,-5
2018-19,1610612766,21800288,2018-11-25,CHA,ATL,1610612737,19,123,124,L,-1
2018-19,1610612766,21800294,2018-11-26,MIL,CHA,1610612749,20,110,107,W,3
2018-19,1610612766,21800306,2018-11-28,ATL,CHA,1610612737,21,108,94,W,14
2018-19,1610612766,21800320,2018-11-30,UTA,CHA,1610612762,22,111,119,L,-8
2018-19,1610612766,21800338,2018-12-02,NOP,CHA,1610612740,23,109,119,L,-10
2018-19,1610612766,21800362,2018-12-05,CHA,MIN,1610612750,24,104,121,L,-17
2018-19,1610612766,21800368,2018-12-07,DEN,CHA,1610612743,25,113,107,W,6
2018-19,1610612766,21800389,2018-12-09,CHA,NYK,1610612752,26,119,107,W,12
2018-19,1610612766,21800405,2018-12-12,DET,CHA,1610612765,27,108,107,W,1
2018-19,1610612766,21800421,2018-12-14,NYK,CHA,1610612752,28,124,126,L,-2
2018-19,1610612766,21800430,2018-12-15,LAL,CHA,1610612747,29,100,128,L,-28
2018-19,1610612766,21800455,2018-12-19,CLE,CHA,1610612739,30,110,99,W,11
2018-19,1610612766,21800469,2018-12-21,DET,CHA,1610612765,31,98,86,W,12
2018-19,1610612766,21800488,2018-12-23,CHA,BOS,1610612738,32,103,119,L,-16
2018-19,1610612766,21800505,2018-12-26,CHA,BKN,1610612751,33,132,134,L,-2
2018-19,1610612766,21800517,2018-12-28,BKN,CHA,1610612751,34,100,87,W,13
2018-19,1610612766,21800530,2018-12-29,CHA,WAS,1610612764,35,126,130,L,-4
2018-19,1610612766,21800543,2018-12-31,ORL,CHA,1610612753,36,125,100,W,25
2018-19,1610612766,21800554,2019-01-02,DAL,CHA,1610612742,37,84,122,L,-38
2018-19,1610612766,21800576,2019-01-05,CHA,DEN,1610612743,38,110,123,L,-13
2018-19,1610612766,21800590,2019-01-06,CHA,PHX,1610612756,39,119,113,W,6
2018-19,1610612766,21800606,2019-01-08,CHA,LAC,1610612746,40,109,128,L,-19
2018-19,1610612766,21800628,2019-01-11,CHA,POR,1610612757,41,96,127,L,-31
2018-19,1610612766,21800636,2019-01-12,CHA,SAC,1610612758,42,97,104,L,-7
2018-19,1610612766,21800647,2019-01-14,CHA,SAS,1610612759,43,108,93,W,15
2018-19,1610612766,21800666,2019-01-17,SAC,CHA,1610612758,44,114,95,W,19
2018-19,1610612766,21800679,2019-01-19,PHX,CHA,1610612756,45,135,115,W,20
2018-19,1610612766,21800688,2019-01-20,CHA,IND,1610612754,46,95,120,L,-25
2018-19,1610612766,21800713,2019-01-23,CHA,MEM,1610612763,47,118,107,W,11
2018-19,1610612766,21800727,2019-01-25,CHA,MIL,1610612749,48,99,108,L,-9
2018-19,1610612766,21800744,2019-01-28,NYK,CHA,1610612752,49,101,92,W,9
