TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612741,Chicago Bulls,CHI,81,81,0.367,995,2562,0.388,0.568,0.021,73,144,0.507,0.346,922,2418,0.381
1610612760,Oklahoma City Thunder,OKC,82,82,0.341,924,2495,0.37,0.543,0.021,62,151,0.411,0.32,862,2344,0.368
1610612740,New Orleans Pelicans,NOP,81,81,0.344,883,2428,0.364,0.529,0.022,82,155,0.529,0.322,801,2273,0.352
1610612762,Utah Jazz,UTA,81,81,0.323,991,2396,0.414,0.601,0.024,93,176,0.528,0.299,898,2220,0.405
1610612737,Atlanta Hawks,ATL,82,82,0.319,945,2348,0.402,0.585,0.025,86,183,0.47,0.294,859,2165,0.397
1610612766,Charlotte Hornets,CHA,81,81,0.329,924,2335,0.396,0.578,0.019,72,136,0.529,0.31,852,2199,0.387
1610612748,Miami Heat,MIA,81,82,0.334,853,2329,0.366,0.535,0.023,67,163,0.411,0.311,786,2166,0.363
1610612744,Golden State Warriors,GSW,81,80,0.318,839,2304,0.364,0.533,0.022,63,159,0.396,0.296,776,2145,0.362
1610612747,Los Angeles Lakers,LAL,81,81,0.307,903,2298,0.393,0.572,0.022,81,164,0.494,0.285,822,2134,0.385
1610612763,Memphis Grizzlies,MEM,82,82,0.323,896,2295,0.39,0.574,0.017,54,123,0.439,0.306,842,2172,0.388
1610612758,Sacramento Kings,SAC,82,82,0.315,882,2235,0.395,0.574,0.024,79,167,0.473,0.292,803,2068,0.388
1610612761,Toronto Raptors,TOR,81,81,0.302,880,2225,0.396,0.58,0.017,59,127,0.465,0.285,821,2098,0.391
1610612746,LA Clippers,LAC,81,81,0.309,845,2209,0.383,0.556,0.026,77,185,0.416,0.283,768,2024,0.379
1610612742,Dallas Mavericks,DAL,81,81,0.3,844,2189,0.386,0.564,0.019,62,142,0.437,0.28,782,2047,0.382
1610612756,Phoenix Suns,PHX,80,81,0.3,821,2171,0.378,0.549,0.022,79,157,0.503,0.279,742,2014,0.368
1610612738,Boston Celtics,BOS,81,81,0.291,809,2158,0.375,0.546,0.02,69,147,0.469,0.271,740,2011,0.368
1610612764,Washington Wizards,WAS,82,82,0.283,821,2155,0.381,0.555,0.019,71,148,0.48,0.264,750,2007,0.374
1610612749,Milwaukee Bucks,MIL,82,82,0.285,822,2146,0.383,0.551,0.027,100,205,0.488,0.258,722,1941,0.372
1610612759,San Antonio Spurs,SAS,81,81,0.286,829,2142,0.387,0.561,0.026,83,195,0.426,0.26,746,1947,0.383
1610612752,New York Knicks,NYK,82,82,0.305,824,2128,0.387,0.567,0.018,59,125,0.472,0.287,765,2003,0.382
1610612755,Philadelphia 76ers,PHI,81,81,0.303,783,2121,0.369,0.54,0.02,57,140,0.407,0.283,726,1981,0.366
1610612739,Cleveland Cavaliers,CLE,82,82,0.292,818,2096,0.39,0.572,0.017,58,121,0.479,0.275,760,1975,0.385
1610612745,Houston Rockets,HOU,82,82,0.291,756,2091,0.362,0.529,0.016,57,118,0.483,0.274,699,1973,0.354
1610612750,Minnesota Timberwolves,MIN,82,82,0.293,793,2082,0.381,0.551,0.027,86,190,0.453,0.266,707,1892,0.374
1610612751,Brooklyn Nets,BKN,79,79,0.288,776,2012,0.386,0.567,0.019,48,134,0.358,0.269,728,1878,0.388
1610612757,Portland Trail Blazers,POR,81,81,0.282,745,1979,0.376,0.548,0.02,66,139,0.475,0.262,679,1840,0.369
1610612765,Detroit Pistons,DET,81,81,0.274,768,1972,0.389,0.567,0.02,66,144,0.458,0.254,702,1828,0.384
1610612743,Denver Nuggets,DEN,80,80,0.281,726,1970,0.369,0.534,0.025,75,175,0.429,0.256,651,1795,0.363
1610612753,Orlando Magic,ORL,82,82,0.276,710,1895,0.375,0.544,0.02,70,138,0.507,0.256,640,1757,0.364
1610612754,Indiana Pacers,IND,82,82,0.232,650,1700,0.382,0.558,0.017,53,122,0.434,0.215,597,1578,0.378
