group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
Players,1627936,Alex Caruso,Alex,1610612741,CHI,29.0,28,8,20,0.286,105.0,0.06,0.065,0.053,0.067,0.08,0.02,0.032,0.118,0.125,0.123,0.375,0.154,0.429,0.214,0.0,0.346,0.093,0.055,118,204,415,390,93,385,342,383,246,298,294,299,209,291,309,48,272,46,124,1,405,274,367
Players,203083,Andre Drummond,Andre,1610612741,CHI,29.0,5,2,3,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,338,326,115,316,405,406,361,396,257,325,295,305,288,373,388,297,1,64,204,1,1,329,382
Players,1630245,Ayo Dosunmu,Ayo,1610612741,CHI,23.0,24,9,15,0.375,63.0,0.113,0.146,0.136,0.0,0.139,0.075,0.077,0.2,0.222,0.218,0.091,0.083,0.375,0.143,0.333,0.286,0.061,0.117,148,189,344,339,168,283,225,243,257,235,255,260,161,157,163,245,200,53,161,370,353,301,280
Players,1630637,Carlik Jones,Carlik,1610612741,CHI,25.0,1,1,0,1.0,3.0,0.111,0.25,0.167,0.5,0.333,0.0,0.0,0.0,0.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,425,372,1,1,402,287,91,182,21,66,295,305,288,9,53,297,1,250,204,1,1,329,68
Players,1629632,Coby White,Coby,1610612741,CHI,23.0,22,7,15,0.318,46.0,0.123,0.154,0.14,0.333,0.189,0.216,0.191,0.0,0.286,0.229,0.12,0.0,0.167,0.0,0.286,0.136,0.161,0.189,169,223,344,385,196,260,212,235,71,182,129,158,288,89,151,216,1,167,204,356,152,199,162
Players,201942,DeMar DeRozan,DeMar,1610612741,CHI,33.0,34,14,20,0.412,160.0,0.386,0.408,0.398,0.158,0.136,0.58,0.551,0.273,0.226,0.234,0.281,0.25,0.125,0.1,0.474,0.136,0.532,0.443,63,108,415,310,13,9,17,17,186,241,4,3,122,154,143,94,354,203,185,417,151,5,13
Players,1627884,Derrick Jones Jr.,Derrick,1610612741,CHI,26.0,7,3,4,0.429,13.0,0.138,0.125,0.048,0.0,0.0,0.25,0.444,1.0,0.3,0.364,0.167,0.5,0.5,1.0,0.0,0.333,0.4,0.143,309,304,136,291,321,219,260,387,257,325,107,23,1,76,42,173,432,17,1,1,382,24,230
Players,1629750,Javonte Green,Javonte,1610612741,CHI,29.0,7,1,6,0.143,14.0,0.2,0.308,0.2,0.0,0.25,0.0,0.0,0.0,0.091,0.091,0.125,0.5,0.333,0.0,0.0,0.333,0.143,0.258,309,372,191,414,312,109,55,136,257,111,295,305,288,336,347,209,432,64,204,1,382,215,79
Players,202696,Nikola Vučević,Nikola,1610612741,CHI,32.0,37,14,23,0.378,170.0,0.135,0.16,0.164,0.391,0.256,0.058,0.073,0.24,0.295,0.285,0.148,0.081,0.148,0.368,0.048,0.125,0.096,0.146,34,108,440,337,4,228,202,190,52,109,269,266,150,84,97,188,199,184,70,244,138,271,225
Players,201976,Patrick Beverley,Patrick,1610612741,CHI,34.0,26,13,13,0.5,107.0,0.065,0.041,0.063,0.133,0.151,0.03,0.081,0.182,0.159,0.165,0.171,0.095,0.304,0.273,0.0,0.303,0.055,0.044,137,129,313,188,87,380,356,372,202,224,286,256,180,247,247,169,214,89,104,1,371,307,373
Players,1630172,Patrick Williams,Patrick,1610612741,CHI,21.0,29,14,15,0.483,88.0,0.072,0.061,0.084,0.083,0.13,0.074,0.067,0.2,0.097,0.117,0.0,0.083,0.154,0.167,0.111,0.229,0.095,0.066,105,108,344,239,127,368,344,346,234,243,256,271,161,332,315,297,200,179,141,271,289,272,357
Players,1630678,Terry Taylor,Terry,1610612741,CHI,23.0,2,1,1,0.5,4.0,0.154,0.2,0.125,0.0,0.0,0.0,0.286,1.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.133,394,372,18,188,399,179,145,267,257,325,295,83,1,373,53,297,1,250,204,1,1,48,251
Players,203897,Zach LaVine,Zach,1610612741,CHI,28.0,34,14,20,0.412,159.0,0.299,0.293,0.315,0.261,0.393,0.26,0.259,0.083,0.154,0.141,0.204,0.371,0.107,0.105,0.35,0.125,0.234,0.282,63,108,415,310,14,42,62,45,116,41,100,107,250,255,284,134,417,225,183,391,138,125,61
