group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
Players,1631221,Collin Gillespie,Collin,1610612756,PHX,25.0,3,2,1,0.667,6.0,0.143,0.286,0.2,1.0,0.333,0.0,0.0,0.0,0.2,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.238,380,335,35,73,384,220,84,140,1,53,307,313,302,187,254,192,1,263,208,1,1,339,117,PHX
Players,1628998,Cody Martin,Cody,1610612756,PHX,29.0,26,11,15,0.423,60.0,0.15,0.143,0.135,0.143,0.157,0.137,0.172,0.16,0.245,0.216,0.25,0.25,0.0,0.333,0.0,0.192,0.133,0.141,91,135,433,328,153,209,247,279,203,225,199,174,202,146,191,111,379,263,82,1,273,231,255,PHX
Players,1629626,Bol Bol,Bol,1610612756,PHX,25.0,5,1,4,0.2,14.0,0.206,0.273,0.182,0.333,0.4,0.25,0.333,0.0,0.455,0.417,0.143,0.4,0.0,0.5,0.0,0.091,0.2,0.276,342,375,181,433,318,124,91,175,71,35,106,57,302,27,31,224,458,263,33,1,147,154,82,PHX
Players,1626220,Royce O'Neale,Royce,1610612756,PHX,32.0,29,17,12,0.586,80.0,0.091,0.136,0.13,0.318,0.208,0.0,0.0,0.095,0.244,0.194,0.195,0.067,0.25,0.222,0.0,0.118,0.035,0.113,63,38,372,139,101,367,261,294,85,168,307,313,256,147,218,168,222,117,135,1,160,335,313,PHX
Players,1642346,Ryan Dunn,Ryan,1610612756,PHX,22.0,18,8,10,0.444,18.0,0.065,0.0,0.13,0.0,0.111,0.0,0.0,0.6,0.118,0.227,0.0,0.0,0.5,0.5,0.0,0.421,0.0,0.0,178,187,328,309,289,409,369,294,265,286,307,313,25,329,174,337,1,31,33,1,461,339,392,PHX
Players,203078,Bradley Beal,Bradley,1610612756,PHX,31.0,23,11,12,0.478,91.0,0.186,0.164,0.197,0.214,0.2,0.218,0.22,0.25,0.241,0.243,0.152,0.15,0.231,0.083,0.25,0.241,0.207,0.188,133,135,372,280,71,148,216,157,149,173,129,130,135,149,157,217,302,143,199,379,347,148,173,PHX
Players,1626145,Tyus Jones,Tyus,1610612756,PHX,29.0,31,16,15,0.516,73.0,0.104,0.109,0.14,0.125,0.125,0.039,0.031,0.273,0.205,0.22,0.242,0.05,0.1,0.25,0.286,0.024,0.044,0.09,44,55,433,204,121,332,304,265,218,263,291,308,127,186,183,129,212,243,118,394,115,330,342,PHX
Players,1628960,Grayson Allen,Grayson,1610612756,PHX,29.0,30,17,13,0.567,71.0,0.134,0.132,0.117,0.286,0.194,0.167,0.188,0.158,0.105,0.123,0.176,0.25,0.125,0.0,0.167,0.205,0.178,0.16,54,38,399,162,127,244,265,327,97,190,169,157,204,341,341,187,379,222,208,332,295,181,215,PHX
Players,1642345,Oso Ighodaro,Oso,1610612756,PHX,22.0,9,4,5,0.444,15.0,0.188,0.4,0.217,0.0,0.0,0.333,0.25,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.286,0.345,279,275,214,309,308,145,23,127,265,347,66,106,302,382,400,264,1,263,208,1,158,80,35,PHX
Players,1628420,Monté Morris,Monté,1610612756,PHX,29.0,1,0,1,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,450,35,450,473,3,369,1,265,1,307,313,302,382,400,337,1,263,208,1,1,339,392,PHX
Players,1631102,TyTy Washington Jr.,TyTy,1610612756,PHX,23.0,1,0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,450,35,450,425,435,369,419,265,347,307,313,1,382,64,337,1,263,208,1,1,339,392,PHX
Players,1626164,Devin Booker,Devin,1610612756,PHX,28.0,37,21,16,0.568,112.0,0.301,0.226,0.308,0.172,0.31,0.342,0.355,0.214,0.149,0.168,0.357,0.2,0.4,0.0,0.5,0.217,0.388,0.254,13,8,449,161,41,42,134,54,180,71,62,55,164,283,253,68,340,61,208,448,311,38,97,PHX
Players,203486,Mason Plumlee,Mason,1610612756,PHX,35.0,20,6,14,0.3,60.0,0.1,0.114,0.066,0.0,0.0,0.083,0.136,0.375,0.125,0.208,0.125,0.333,0.125,0.25,0.0,0.324,0.143,0.093,160,229,410,407,152,342,294,394,265,347,258,211,87,317,196,244,422,222,118,1,426,210,336,PHX
