player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
201584,Courtney Lee,Courtney,1610612742,DAL,33.0,34,6,28,0.176,12.6,102.8,102.3,102.3,110.3,108.6,108.6,-7.4,-6.4,-6.4,0.13,2.64,19.7,0.019,0.105,0.06,7.4,7.4,0.473,0.492,0.15,0.156,101.52,102.56,85.47,102.56,0.068,916,53,129,1.6,3.8,0.411,372,450,292,507,392,401,415,415,384,280,280,424,401,401,214,74,168,366,338,368,105,104,396,419,378,371,318,240,240,375,381,374,398,387,369,DAL
1629133,Daryl Macon,Daryl,1610612742,DAL,23.0,8,4,4,0.5,11.2,103.0,102.7,102.7,106.0,104.7,104.7,-2.9,-2.1,-2.1,0.123,1.17,16.3,0.019,0.099,0.057,14.0,13.9,0.463,0.482,0.167,0.172,100.2,100.97,84.14,100.97,0.041,188,10,27,1.3,3.4,0.37,473,459,59,251,416,395,402,402,171,120,120,314,296,296,229,374,240,375,362,384,490,487,421,441,301,302,427,359,359,474,465,465,435,401,454,DAL
2734,Devin Harris,Devin,1610612742,DAL,36.0,68,28,40,0.412,15.7,105.8,105.7,105.7,109.8,109.9,109.9,-4.0,-4.2,-4.2,0.172,2.18,20.9,0.01,0.09,0.049,9.6,9.6,0.47,0.527,0.18,0.186,100.63,100.61,83.84,100.61,0.065,2244,132,347,1.9,5.1,0.38,165,219,454,369,327,306,309,309,364,351,351,338,336,336,154,140,140,476,397,449,263,268,404,332,226,222,386,391,391,389,284,261,352,311,443,DAL
1717,Dirk Nowitzki,Dirk,1610612742,DAL,41.0,51,17,34,0.333,15.6,105.3,104.8,104.8,110.8,109.7,109.7,-5.5,-4.8,-4.8,0.068,1.94,7.8,0.006,0.18,0.092,4.0,4.0,0.444,0.469,0.217,0.227,100.31,101.08,84.24,101.08,0.073,1682,135,376,2.6,7.4,0.359,284,328,382,422,329,328,343,343,403,338,338,376,352,352,416,180,477,504,109,195,32,31,452,452,122,113,414,346,346,349,281,245,272,195,460,DAL
1627827,Dorian Finney-Smith,Dorian,1610612742,DAL,26.0,81,33,48,0.407,24.5,106.0,106.8,106.8,107.9,108.7,108.7,-2.0,-1.9,-1.9,0.07,1.28,12.8,0.064,0.119,0.092,10.0,10.0,0.507,0.53,0.135,0.139,101.47,100.7,83.92,100.7,0.069,4160,228,528,2.8,6.5,0.432,22,169,500,372,179,296,258,258,258,282,282,287,286,286,401,340,348,126,275,200,299,300,280,321,436,440,323,381,381,363,175,169,245,237,287,DAL
203939,Dwight Powell,Dwight,1610612742,DAL,27.0,77,31,46,0.403,21.6,110.8,110.8,110.8,110.3,109.9,109.9,0.5,0.9,0.9,0.101,1.67,14.5,0.081,0.16,0.12,8.7,8.6,0.637,0.682,0.167,0.173,100.78,100.94,84.11,100.94,0.123,3488,290,486,3.8,6.3,0.597,74,187,491,376,221,93,110,110,385,348,348,210,192,192,294,237,281,87,150,116,193,187,21,13,297,292,376,361,361,83,129,183,168,251,30,DAL
200826,J.J. Barea,J.J.,1610612742,DAL,35.0,38,20,18,0.526,19.8,108.3,109.5,109.5,105.6,106.3,106.3,2.8,3.2,3.2,0.454,2.93,30.2,0.016,0.106,0.06,10.3,10.3,0.468,0.495,0.263,0.272,103.64,102.73,85.61,102.73,0.131,1612,161,385,4.2,10.1,0.418,358,294,168,232,253,185,160,160,153,180,180,147,140,140,3,55,42,409,334,367,319,317,410,413,44,46,160,229,229,63,261,238,137,119,340,DAL
1628973,Jalen Brunson,Jalen,1610612742,DAL,22.0,73,27,46,0.37,21.8,106.9,107.7,107.7,109.8,110.4,110.4,-2.9,-2.8,-2.8,0.223,2.61,24.6,0.015,0.087,0.05,9.4,9.4,0.523,0.549,0.186,0.19,101.06,100.42,83.68,100.42,0.088,3333,264,565,3.6,7.7,0.467,124,229,491,402,218,260,227,227,366,373,373,315,311,311,88,77,91,422,414,442,250,253,224,256,199,206,351,399,399,245,144,152,180,184,183,DAL
1628382,Justin Jackson,Justin,1610612742,DAL,24.0,81,36,45,0.444,19.9,107.5,107.3,107.3,107.9,108.3,108.3,-0.5,-0.9,-0.9,0.081,3.31,14.9,0.025,0.096,0.06,4.5,4.5,0.537,0.561,0.141,0.144,103.61,103.5,86.25,103.5,0.076,3470,217,485,2.7,6.0,0.447,22,146,488,335,251,232,238,238,260,265,265,241,257,257,358,34,272,296,378,357,37,37,176,212,416,423,161,187,187,324,183,185,266,264,235,DAL
1628961,Kostas Antetokounmpo,Kostas,1610612742,DAL,21.0,2,1,1,0.5,5.3,111.0,104.5,104.5,92.4,87.0,87.0,18.6,17.6,17.6,0.0,0.0,0.0,0.0,0.111,0.056,16.7,17.4,0.0,0.21,0.24,0.243,96.21,102.21,85.17,102.21,-0.033,22,0,3,0.0,1.5,0.0,511,499,9,251,497,89,353,353,15,11,11,11,11,11,510,500,510,505,309,398,512,514,519,520,71,81,521,268,268,526,519,514,519,494,519,DAL
