group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
Players,1631106,Tari Eason,Tari,1610612745,HOU,23.0,7,3,4,0.429,2.9,0.8,0.2,0.857,0.0,0.0,0.286,0.143,0.286,0.857,0.333,0.667,0.0,0.0,0.333,0.667,3,10,0.3,294,288,164,304,219,101,291,67,128,222,26,236,45,60,223,94,217,79,286,59,216,190,312,HOU
Players,1631466,Nate Williams,Nate,1610612745,HOU,25.0,1,1,0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,420,359,1,1,433,371,324,332,128,222,169,272,226,329,286,251,217,79,323,259,355,399,355,HOU
Players,1628415,Dillon Brooks,Dillon,1610612745,HOU,28.0,33,14,19,0.424,3.3,0.39,0.61,0.302,0.075,0.679,0.094,0.019,0.189,0.226,0.75,0.25,0.917,0.083,0.85,0.15,20,41,0.488,36,85,440,316,133,304,95,272,79,29,90,271,94,278,100,227,144,77,110,245,42,47,153,HOU
Players,1641708,Amen Thompson,Amen,1610612745,HOU,21.0,16,7,9,0.438,2.3,0.917,0.083,0.588,0.0,0.176,0.0,0.236,0.353,0.588,0.4,0.6,0.0,1.0,0.333,0.667,6,12,0.5,196,200,288,301,296,81,318,138,128,184,169,169,33,123,211,117,217,1,286,59,165,176,103,HOU
Players,1631095,Jabari Smith Jr.,Jabari,1610612745,HOU,21.0,33,16,17,0.485,3.2,0.467,0.533,0.341,0.098,0.512,0.024,0.147,0.098,0.244,0.857,0.143,1.0,0.0,0.929,0.071,14,30,0.467,36,56,425,245,151,276,123,255,62,73,165,235,180,269,84,245,1,79,99,255,68,74,168,HOU
Players,1630207,Nate Hinton,Nate,1610612745,HOU,25.0,2,0,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,393,422,98,422,449,371,324,332,128,222,169,272,226,329,286,251,217,79,323,259,355,399,355,HOU
Players,201145,Jeff Green,Jeff,1610612745,HOU,37.0,20,8,12,0.4,1.9,0.286,0.714,0.5,0.0,0.0,0.5,0.5,0.75,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1,7,0.143,157,181,337,326,341,338,57,173,128,222,11,21,10,147,286,1,217,79,323,1,290,220,351,HOU
Players,203493,Reggie Bullock Jr.,Reggie,1610612745,HOU,33.0,4,2,2,0.5,3.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1.0,341,315,98,200,135,371,1,332,128,1,169,272,226,329,286,251,1,79,1,259,290,364,1,HOU
Players,1641715,Cam Whitmore,Cam,1610612745,HOU,19.0,7,3,4,0.429,3.3,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,2,10,0.2,294,288,164,304,130,147,250,1,128,222,169,272,226,1,167,137,217,79,218,108,252,190,343,HOU
Players,1630256,Jae'Sean Tate,Jae'Sean,1610612745,HOU,28.0,13,6,7,0.462,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,229,221,243,263,412,238,130,1,128,222,169,272,226,1,1,251,217,79,1,259,290,330,103,HOU
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,27.0,19,6,13,0.316,1.3,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,163,221,365,368,392,297,97,332,128,222,169,1,226,329,286,251,217,79,323,259,355,253,355,HOU
Players,1629111,Jock Landale,Jock,1610612745,HOU,28.0,5,2,3,0.4,1.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,320,315,132,326,343,1,324,332,128,222,169,272,226,329,286,251,217,79,323,259,355,330,355,HOU
Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,21.0,29,13,16,0.448,3.6,0.984,0.016,0.711,0.022,0.0,0.033,0.289,0.167,0.689,0.688,0.313,0.0,0.0,0.688,0.313,32,63,0.508,72,99,411,280,90,76,323,100,126,222,159,111,108,97,113,219,217,79,166,189,13,19,102,HOU
Players,1627832,Fred VanVleet,Fred,1610612745,HOU,30.0,34,15,19,0.441,3.8,0.382,0.618,0.313,0.188,0.422,0.094,0.265,0.156,0.125,0.1,0.9,0.333,0.667,0.211,0.789,19,55,0.345,29,69,440,296,60,306,93,270,28,99,91,141,120,318,280,51,207,11,311,44,46,29,274,HOU
Players,1626246,Boban Marjanović,Boban,1610612745,HOU,35.0,2,1,1,0.5,0.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,393,359,29,200,428,1,324,332,128,222,169,272,226,329,286,251,217,79,323,259,355,364,355,HOU
Players,1630224,Jalen Green,Jalen,1610612745,HOU,22.0,33,14,19,0.424,3.3,0.586,0.414,0.364,0.0,0.341,0.091,0.295,0.045,0.364,0.375,0.625,0.6,0.4,0.462,0.538,13,29,0.448,36,85,440,316,132,200,198,246,128,125,92,106,219,211,218,113,183,38,250,103,73,84,177,HOU
