team_id,team_name,gp,w,l,w_pct,travel,double_dribble,discontinued_dribble,off_three_sec,five_sec,eight_sec,shot_clock,inbound,backcourt,off_goaltending,palming,off_foul,def_three_sec,charge,delay_of_game,def_goaltending,lane,jump_ball,kicked_ball,gp_rank,w_rank,l_rank,w_pct_rank,travel_rank,double_dribble_rank,discontinued_dribble_rank,off_three_sec_rank,five_sec_rank,eight_sec_rank,shot_clock_rank,inbound_rank,backcourt_rank,off_goaltending_rank,palming_rank,off_foul_rank,def_three_sec_rank,charge_rank,delay_of_game_rank,def_goaltending_rank,lane_rank,jump_ball_rank,kicked_ball_rank,team
1610612737,Atlanta Hawks,82,48,34,0.585,0.8,0.0,0.1,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.2,0.7,0.2,0.2,0.0,0.0,0.5,1,7,7,7,16,15,1,17,1,1,23,1,19,23,1,1,18,2,9,13,2,1,3,ATLANTA HAWKS
1610612738,Boston Celtics,82,48,34,0.585,0.9,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.4,0.6,0.2,0.1,0.0,0.0,0.4,1,7,7,7,9,15,1,8,1,1,30,1,1,1,4,1,3,6,9,22,2,1,9,BOSTON CELTICS
1610612751,Brooklyn Nets,82,21,61,0.256,0.8,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.3,0.4,0.2,0.2,0.0,0.0,0.4,1,28,28,28,16,15,8,8,1,1,23,1,1,23,4,1,9,19,9,13,2,1,9,BROOKLYN NETS
1610612766,Charlotte Hornets,82,48,34,0.585,0.8,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.3,0.4,0.1,0.1,0.0,0.0,0.4,1,7,7,7,16,15,8,17,1,1,7,1,19,1,4,1,9,19,27,22,2,1,9,CHARLOTTE HORNETS
1610612741,Chicago Bulls,82,42,40,0.512,0.5,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.2,0.6,0.2,0.1,0.0,0.0,0.3,1,14,14,14,29,15,8,8,1,1,15,1,19,1,4,1,18,6,9,22,2,1,19,CHICAGO BULLS
1610612739,Cleveland Cavaliers,82,57,25,0.695,0.6,0.1,0.0,0.3,0.0,0.0,0.6,0.0,0.1,0.1,0.1,0.0,0.1,0.3,0.2,0.3,0.0,0.0,0.5,1,3,3,3,26,1,8,3,1,1,7,1,1,1,1,1,28,24,9,8,2,1,3,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,82,42,40,0.512,0.6,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.5,1,14,14,14,26,15,8,17,1,1,23,1,19,23,4,1,9,24,9,13,2,1,3,DALLAS MAVERICKS
1610612743,Denver Nuggets,82,33,49,0.402,0.9,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.3,0.5,0.2,0.4,0.0,0.0,0.3,1,21,21,21,9,15,8,17,1,1,23,1,19,1,4,1,9,12,9,2,2,1,19,DENVER NUGGETS
1610612765,Detroit Pistons,82,44,38,0.537,1.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.2,0.6,0.4,0.3,0.0,0.0,0.3,1,12,12,12,4,15,8,8,1,1,15,1,1,1,4,1,18,6,1,8,2,1,19,DETROIT PISTONS
1610612744,Golden State Warriors,82,73,9,0.89,0.7,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.1,0.0,0.0,0.3,0.2,0.3,0.1,0.0,0.0,0.5,1,1,1,1,22,1,8,17,1,1,29,1,1,1,4,1,9,29,3,22,2,1,3,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,82,41,41,0.5,0.7,0.1,0.0,0.4,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.4,0.7,0.2,0.5,0.0,0.0,0.4,1,17,17,17,22,1,8,1,1,1,3,1,19,1,4,1,3,2,9,1,2,1,9,HOUSTON ROCKETS
1610612754,Indiana Pacers,82,45,37,0.549,0.6,0.1,0.1,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.1,0.7,0.2,0.2,0.0,0.0,0.4,1,11,11,11,26,1,1,17,1,1,15,1,1,23,4,1,28,2,9,13,2,1,9,INDIANA PACERS
1610612746,LA Clippers,82,53,29,0.646,0.5,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.4,0.3,0.3,0.3,0.0,0.0,0.4,1,6,6,6,29,15,8,17,1,1,15,1,1,1,4,1,3,24,3,8,2,1,9,LA CLIPPERS
