TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,18,10,8,0.556,49.1,110.5,34.1,0.711,6.9,4.5,13.7,15.2,12.7,48.8,4,3,14,5,12,7,8,12,8,7,5,14,13,15
1610612738,Boston Celtics,5,1,4,0.2,49.6,128.0,29.8,0.699,6.6,7.2,18.6,12.8,12.4,43.4,12,12,1,12,9,16,16,13,10,1,15,7,11,4
1610612751,Brooklyn Nets,12,7,5,0.583,49.9,109.3,35.4,0.698,7.3,5.0,14.2,14.7,12.3,46.4,5,5,9,3,6,4,5,14,4,4,9,12,9,12
1610612742,Dallas Mavericks,7,3,4,0.429,51.7,119.7,32.6,0.753,6.0,2.3,13.1,9.1,10.6,44.0,9,9,1,8,1,10,11,4,13,16,4,2,5,7
1610612743,Denver Nuggets,10,4,6,0.4,49.8,122.1,32.5,0.738,6.2,4.4,15.3,9.7,11.6,43.9,8,8,12,9,8,13,12,5,11,8,13,3,6,6
1610612746,LA Clippers,19,10,9,0.526,51.3,114.5,34.6,0.719,7.3,4.6,14.6,13.6,7.3,43.5,3,3,16,7,2,8,6,10,5,6,11,10,1,5
1610612747,Los Angeles Lakers,6,2,4,0.333,50.5,109.3,34.4,0.781,7.0,4.2,16.5,11.4,13.7,42.8,10,10,1,10,4,5,7,1,7,11,14,5,16,3
1610612763,Memphis Grizzlies,5,1,4,0.2,48.0,123.4,30.0,0.729,8.0,4.0,13.0,14.2,10.0,46.8,12,12,1,12,13,15,15,8,1,13,3,11,4,13
1610612748,Miami Heat,4,0,4,0.0,47.9,115.0,32.4,0.664,7.1,3.4,12.7,18.2,13.6,45.7,16,16,1,16,14,9,13,16,6,14,2,16,15,9
1610612749,Milwaukee Bucks,23,16,7,0.696,49.2,106.8,36.7,0.765,8.0,4.3,14.9,11.1,8.8,40.1,1,1,13,1,11,1,1,3,2,10,12,4,2,1
1610612752,New York Knicks,5,1,4,0.2,50.5,109.7,36.4,0.781,6.1,2.9,14.3,9.1,8.8,41.3,12,12,1,12,4,6,2,2,12,15,10,1,3,2
1610612755,Philadelphia 76ers,12,7,5,0.583,47.7,107.5,35.5,0.734,8.0,6.1,13.8,13.4,11.7,45.9,5,5,9,3,15,2,4,7,3,2,8,9,7,10
1610612756,Phoenix Suns,22,14,8,0.636,49.9,109.0,36.1,0.725,6.7,4.3,13.8,13.3,12.3,46.2,2,2,14,2,7,3,3,9,9,9,7,8,10,11
1610612757,Portland Trail Blazers,6,2,4,0.333,50.8,122.9,33.0,0.68,5.3,5.6,12.4,18.2,12.3,45.3,10,10,1,10,3,14,10,15,15,3,1,15,8,8
1610612762,Utah Jazz,11,6,5,0.545,49.3,121.7,33.9,0.735,5.3,4.2,19.0,14.8,13.4,48.2,7,7,9,6,10,12,9,6,14,12,16,13,14,14
1610612764,Washington Wizards,5,1,4,0.2,46.7,121.1,31.9,0.717,4.7,4.7,13.8,11.9,12.6,51.8,12,12,1,12,16,11,14,11,16,5,6,6,12,16
