season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2021-22,1610612748,42100101,2022-04-17,ATL,MIA,1610612737,115,91,W,24,rnd1,1
2021-22,1610612748,42100102,2022-04-19,ATL,MIA,1610612737,115,105,W,10,rnd1,2
2021-22,1610612748,42100103,2022-04-22,MIA,ATL,1610612737,110,111,L,-1,rnd1,3
2021-22,1610612748,42100104,2022-04-24,MIA,ATL,1610612737,110,86,W,24,rnd1,4
2021-22,1610612748,42100105,2022-04-26,ATL,MIA,1610612737,97,94,W,3,rnd1,5
2021-22,1610612748,42100201,2022-05-02,PHI,MIA,1610612755,106,92,W,14,sf,1
2021-22,1610612748,42100202,2022-05-04,PHI,MIA,1610612755,119,103,W,16,sf,2
2021-22,1610612748,42100203,2022-05-06,MIA,PHI,1610612755,79,99,L,-20,sf,3
2021-22,1610612748,42100204,2022-05-08,MIA,PHI,1610612755,108,116,L,-8,sf,4
2021-22,1610612748,42100205,2022-05-10,PHI,MIA,1610612755,120,85,W,35,sf,5
2021-22,1610612748,42100206,2022-05-12,MIA,PHI,1610612755,99,90,W,9,sf,6
2021-22,1610612748,42100301,2022-05-17,BOS,MIA,1610612738,118,107,W,11,conf,1
2021-22,1610612748,42100302,2022-05-19,BOS,MIA,1610612738,102,127,L,-25,conf,2
2021-22,1610612748,42100303,2022-05-21,MIA,BOS,1610612738,109,103,W,6,conf,3
2021-22,1610612748,42100304,2022-05-23,MIA,BOS,1610612738,82,102,L,-20,conf,4
2021-22,1610612748,42100305,2022-05-25,BOS,MIA,1610612738,80,93,L,-13,conf,5
2021-22,1610612748,42100306,2022-05-27,MIA,BOS,1610612738,111,103,W,8,conf,6
2021-22,1610612748,42100307,2022-05-29,BOS,MIA,1610612738,96,100,L,-4,conf,7
