season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2016-17,1610612759,41600151,2017-04-15,MEM,SAS,MEM,1610612763,111,82,W,29,rnd1,1
2016-17,1610612759,41600152,2017-04-17,MEM,SAS,MEM,1610612763,96,82,W,14,rnd1,2
2016-17,1610612759,41600153,2017-04-20,SAS,MEM,MEM,1610612763,94,105,L,-11,rnd1,3
2016-17,1610612759,41600154,2017-04-22,SAS,MEM,MEM,1610612763,108,110,L,-2,rnd1,4
2016-17,1610612759,41600155,2017-04-25,MEM,SAS,MEM,1610612763,116,103,W,13,rnd1,5
2016-17,1610612759,41600156,2017-04-27,SAS,MEM,MEM,1610612763,103,96,W,7,rnd1,6
2016-17,1610612759,41600231,2017-05-01,HOU,SAS,HOU,1610612745,99,126,L,-27,sf,1
2016-17,1610612759,41600232,2017-05-03,HOU,SAS,HOU,1610612745,121,96,W,25,sf,2
2016-17,1610612759,41600233,2017-05-05,SAS,HOU,HOU,1610612745,103,92,W,11,sf,3
2016-17,1610612759,41600234,2017-05-07,SAS,HOU,HOU,1610612745,104,125,L,-21,sf,4
2016-17,1610612759,41600235,2017-05-09,HOU,SAS,HOU,1610612745,110,107,W,3,sf,5
2016-17,1610612759,41600236,2017-05-11,SAS,HOU,HOU,1610612745,114,75,W,39,sf,6
2016-17,1610612759,41600311,2017-05-14,SAS,GSW,GSW,1610612744,111,113,L,-2,conf,1
2016-17,1610612759,41600312,2017-05-16,SAS,GSW,GSW,1610612744,100,136,L,-36,conf,2
2016-17,1610612759,41600313,2017-05-20,GSW,SAS,GSW,1610612744,108,120,L,-12,conf,3
2016-17,1610612759,41600314,2017-05-22,GSW,SAS,GSW,1610612744,115,129,L,-14,conf,4
